"Year","Discharge"
"1960","5113.3804"
"1965","6739.2256"
"1970","5859.766"
"1975","6780.7812"
"1980","6416.944"
"1985","6713.9194"
"1990","6158.5176"
"1995","5705.649"
"2000","6767.0977"
"2005","6876.534"
"2010","8213.761"
"2015","6805.436"
"2020","7201.995"
"2025","7378.3384"
"2030","6262.2744"
"2035","6299.3447"
"2040","7000.178"
"2045","6903.5127"
"2050","7114.0806"
"2055","6512.118"
"2060","7740.7666"
"2065","6461.4585"
"2070","6117.7515"
"2075","7576.6514"
"2080","10210.448"
"2085","8190.1147"
"2090","8498.692"
"2095","7561.8936"
"2100","8723.778"
