Month,Obs,EC-EARTH-r3_HIRHAM,CNRM-CM5_CCLM,EC-EARTH-r12_CCLM,HadGEM2-ES_CCLM,MPI-ESM-LR_CCLM
1,2096.360515,192.197737,0.393171,0.278962,0.779220,0.179022
2,2005.332727,320.441453,6.237062,18.130351,5.300832,1.745003
3,1786.708152,1803.347625,253.486301,495.721753,131.093966,144.073460
4,1889.008147,6198.026517,3896.992885,5471.657675,2151.334179,3470.248181
5,2003.537281,12371.246562,13083.360406,11323.747549,6387.145452,9793.085952
6,3019.453188,14883.167753,16895.045886,14604.451170,20145.517194,16781.647034
7,5077.966871,21284.902556,22538.835295,15170.660929,18855.854942,17802.750773
8,9176.978567,37181.432092,22115.925286,14410.954086,14817.761050,20095.203722
9,14686.866767,37738.139773,23840.460612,11976.789691,15606.652398,19668.816250
10,13619.339125,16890.905806,9253.536144,6124.795608,6286.581943,9853.985239
11,4988.787970,2313.741819,529.875864,430.715119,224.436603,782.185167
12,2342.507594,292.612591,7.960189,0.239680,5.730389,16.966770
